User ID,Age,Gender,Location,Diet Type,Diet Duration (years),Reason for Diet,Dietary Transition,Favorite Cuisine,Cooking Skill,Exercise Habits,Favorite Activity,Alcohol Consumption,Smoking Habits,Education Level,Occupation,Income Level,Relationship History,Children,Pets,Travel Preference,Music Taste,Movie Preference,Reading Habits,Online Activity,App Usage Frequency,Event Attendance,Referral Source,Account Duration,Profile Completeness,Response Rate,Safety Concerns,Matched
69,49,Female,Houston,Vegetarian,20,Environmental,In Phases,Asian,4,Daily,Music,Socially,Socially,High School,Doctor,Low,2,No,Yes,Relaxing,Rock,Documentary,19,4,Weekly,Often,Online Ad,20,58,Always,No,Yes
70,24,Male,Phoenix,Vegetarian,16,Health,Overnight,Mediterranean,10,Daily,Reading,Never,Never,Bachelor's,Teacher,Low,1,Yes,No,Adventurous,Classical,Documentary,20,4,Weekly,Rarely,Online Ad,13,62,Rarely,No,Yes
71,20,Male,Phoenix,Pescatarian,7,Environmental,In Phases,Mediterranean,4,Daily,Yoga,Socially,Socially,Bachelor's,Entrepreneur,High,5,No,Yes,Cultural,Rock,Comedy,2,2,Monthly,Rarely,Online Ad,5,74,Often,No,No
72,40,Female,Los Angeles,Raw Vegan,7,Health,Overnight,Mediterranean,8,Weekly,Hiking,Regularly,Never,Bachelor's,Entrepreneur,Middle,3,No,No,Adventurous,Jazz,Action,17,5,Weekly,Rarely,Social Media,17,60,Rarely,No,No
73,32,Female,Houston,Vegan,7,Ethical,Gradual,Mediterranean,4,Rarely,Hiking,Never,Never,High School,Artist,High,1,No,No,Rarely Travel,Jazz,Action,17,6,Daily,Never,Friends,14,95,Often,No,Yes
74,38,Female,Los Angeles,Vegetarian,13,Health,Overnight,Mediterranean,1,Weekly,Music,Never,Regularly,High School,Artist,Low,3,No,Yes,Relaxing,Jazz,Action,8,6,Weekly,Rarely,Friends,14,91,Always,No,No
75,25,Male,Chicago,Vegetarian,9,Environmental,Gradual,Indian,4,Weekly,Reading,Never,Never,Bachelor's,Teacher,Low,2,No,No,Rarely Travel,Rock,Documentary,16,10,Weekly,Never,Friends,16,74,Always,No,No
76,27,Male,Dallas,Vegetarian,1,Religious,In Phases,Western,3,Weekly,Reading,Regularly,Never,Bachelor's,Teacher,Middle,2,Yes,No,Rarely Travel,Classical,Romance,9,4,Weekly,Never,Friends,13,63,Rarely,No,No
77,27,Male,Chicago,Vegetarian,18,Ethical,Gradual,Western,1,Weekly,Hiking,Never,Never,High School,Entrepreneur,Low,3,No,No,Cultural,Classical,Comedy,11,4,Monthly,Rarely,Social Media,17,92,Rarely,No,Yes
78,39,Other,San Antonio,Pescatarian,11,Health,In Phases,Mediterranean,1,Rarely,Hiking,Socially,Regularly,High School,Entrepreneur,Low,4,No,No,Adventurous,Jazz,Comedy,10,5,Daily,Often,Online Ad,4,91,Rarely,No,Yes
79,29,Female,Chicago,Vegan,14,Ethical,Gradual,Indian,7,Daily,Music,Socially,Regularly,Bachelor's,Artist,Middle,1,Yes,Yes,Cultural,Jazz,Action,3,3,Monthly,Never,Social Media,9,71,Rarely,No,No
80,37,Female,Phoenix,Vegan,16,Environmental,Overnight,Mediterranean,4,Daily,Music,Regularly,Regularly,Bachelor's,Doctor,High,0,Yes,No,Adventurous,Pop,Action,10,8,Daily,Never,Friends,14,100,Often,No,Yes
81,34,Male,Dallas,Raw Vegan,18,Ethical,Overnight,Mediterranean,4,Weekly,Music,Never,Regularly,Master's,Engineer,Middle,3,Yes,No,Cultural,Rock,Documentary,10,3,Weekly,Never,Online Ad,9,84,Often,No,No
82,47,Female,Phoenix,Raw Vegan,13,Environmental,Gradual,Western,5,Daily,Reading,Socially,Regularly,Master's,Teacher,High,3,No,Yes,Relaxing,Rock,Comedy,13,9,Weekly,Never,Friends,9,77,Rarely,No,No
83,32,Male,Chicago,Vegetarian,1,Health,In Phases,Western,10,Weekly,Music,Never,Socially,Bachelor's,Entrepreneur,High,0,No,No,Adventurous,Jazz,Documentary,19,1,Monthly,Rarely,Social Media,6,53,Always,No,Yes
84,41,Female,San Jose,Pescatarian,7,Health,In Phases,Western,10,Rarely,Yoga,Socially,Never,PhD,Engineer,Low,4,Yes,No,Rarely Travel,Pop,Action,8,9,Monthly,Often,Friends,16,61,Often,Yes,Yes
85,40,Male,Philadelphia,Pescatarian,13,Environmental,In Phases,Mediterranean,1,Weekly,Reading,Regularly,Regularly,Bachelor's,Doctor,Middle,1,No,Yes,Cultural,Classical,Romance,13,8,Monthly,Rarely,Online Ad,12,79,Rarely,No,No
86,24,Other,Dallas,Raw Vegan,13,Environmental,Overnight,Indian,2,Daily,Yoga,Never,Socially,Master's,Teacher,Middle,2,Yes,Yes,Cultural,Jazz,Documentary,2,7,Weekly,Often,Friends,18,82,Rarely,No,No
87,46,Female,Dallas,Raw Vegan,14,Health,Gradual,Asian,7,Daily,Music,Regularly,Socially,PhD,Doctor,High,4,No,Yes,Relaxing,Rock,Action,3,5,Monthly,Rarely,Online Ad,3,73,Often,No,Yes
88,32,Male,San Diego,Vegan,5,Environmental,Overnight,Western,1,Daily,Hiking,Socially,Regularly,High School,Doctor,Low,5,No,Yes,Rarely Travel,Classical,Documentary,16,5,Monthly,Often,Friends,24,61,Always,No,No
89,40,Female,Chicago,Vegan,9,Ethical,Overnight,Mediterranean,1,Daily,Reading,Socially,Socially,High School,Engineer,Middle,3,No,No,Rarely Travel,Rock,Comedy,9,8,Weekly,Often,Social Media,1,85,Often,No,Yes
90,43,Male,Chicago,Pescatarian,11,Religious,Overnight,Western,1,Daily,Reading,Socially,Socially,High School,Entrepreneur,Low,2,No,Yes,Adventurous,Rock,Comedy,16,3,Weekly,Often,Online Ad,9,72,Always,No,No
91,49,Female,Philadelphia,Vegetarian,3,Religious,In Phases,Asian,5,Daily,Music,Regularly,Never,High School,Doctor,Middle,2,No,No,Rarely Travel,Pop,Romance,4,7,Monthly,Never,Friends,13,83,Often,No,Yes
92,24,Female,San Diego,Vegetarian,16,Health,Overnight,Indian,3,Rarely,Reading,Regularly,Socially,Bachelor's,Doctor,High,0,Yes,No,Relaxing,Jazz,Comedy,9,7,Daily,Never,Social Media,12,97,Always,No,Yes
93,44,Male,Philadelphia,Raw Vegan,14,Health,Overnight,Mediterranean,10,Daily,Reading,Socially,Never,High School,Teacher,Low,5,Yes,No,Rarely Travel,Jazz,Comedy,18,3,Daily,Never,Social Media,16,89,Always,No,No
94,22,Female,San Antonio,Vegetarian,15,Environmental,Gradual,Western,6,Rarely,Hiking,Regularly,Regularly,High School,Teacher,Low,3,Yes,No,Rarely Travel,Jazz,Action,19,6,Monthly,Never,Friends,17,57,Often,Yes,No
95,23,Male,San Diego,Pescatarian,2,Environmental,Overnight,Mediterranean,7,Weekly,Yoga,Regularly,Socially,High School,Engineer,High,2,No,No,Rarely Travel,Rock,Romance,17,6,Weekly,Rarely,Social Media,22,77,Always,No,Yes
96,33,Male,Houston,Pescatarian,1,Health,Overnight,Western,3,Daily,Reading,Regularly,Socially,High School,Engineer,High,2,No,No,Adventurous,Rock,Romance,18,8,Daily,Rarely,Social Media,15,82,Rarely,No,Yes
97,41,Female,Houston,Vegan,18,Ethical,Gradual,Mediterranean,6,Rarely,Hiking,Regularly,Never,Master's,Teacher,Middle,2,No,No,Relaxing,Jazz,Comedy,14,8,Daily,Often,Online Ad,18,57,Rarely,No,No
98,49,Other,New York,Vegetarian,1,Religious,Gradual,Indian,2,Weekly,Music,Never,Socially,PhD,Artist,High,2,No,No,Cultural,Jazz,Comedy,16,7,Daily,Never,Online Ad,20,85,Often,No,Yes
99,38,Female,Los Angeles,Pescatarian,19,Ethical,Overnight,Western,4,Weekly,Hiking,Never,Regularly,PhD,Engineer,Middle,5,No,No,Rarely Travel,Rock,Romance,20,1,Weekly,Often,Social Media,1,95,Rarely,No,No
100,28,Female,Philadelphia,Vegan,8,Ethical,Overnight,Indian,6,Daily,Music,Never,Socially,Bachelor's,Artist,Low,0,No,Yes,Rarely Travel,Jazz,Comedy,1,4,Monthly,Often,Social Media,13,64,Often,No,No
101,36,Female,Philadelphia,Pescatarian,6,Ethical,In Phases,Asian,6,Weekly,Reading,Socially,Socially,Master's,Entrepreneur,Low,3,No,No,Relaxing,Pop,Comedy,15,9,Weekly,Never,Online Ad,10,84,Often,No,No
102,42,Female,Los Angeles,Raw Vegan,16,Health,Gradual,Indian,6,Daily,Music,Never,Never,Bachelor's,Doctor,Middle,4,Yes,Yes,Adventurous,Pop,Documentary,9,2,Daily,Rarely,Friends,3,70,Often,No,Yes
103,43,Female,Los Angeles,Vegetarian,6,Environmental,In Phases,Western,6,Daily,Reading,Regularly,Regularly,Bachelor's,Engineer,Middle,1,No,No,Adventurous,Classical,Comedy,15,8,Daily,Rarely,Friends,3,100,Always,No,Yes
104,26,Male,Phoenix,Vegetarian,14,Religious,Gradual,Indian,4,Weekly,Reading,Socially,Regularly,PhD,Engineer,Low,4,Yes,No,Adventurous,Rock,Romance,3,7,Monthly,Often,Online Ad,1,81,Always,No,No
105,24,Male,San Jose,Pescatarian,10,Ethical,Gradual,Indian,6,Rarely,Music,Regularly,Never,PhD,Doctor,High,4,Yes,Yes,Relaxing,Jazz,Action,8,6,Daily,Never,Friends,9,82,Rarely,No,No
106,30,Other,San Diego,Raw Vegan,12,Ethical,In Phases,Mediterranean,3,Daily,Music,Socially,Socially,PhD,Entrepreneur,Low,5,No,No,Cultural,Pop,Romance,8,9,Monthly,Often,Online Ad,15,81,Often,Yes,No
107,36,Male,San Diego,Pescatarian,10,Religious,Gradual,Asian,10,Rarely,Music,Regularly,Never,PhD,Entrepreneur,High,5,No,Yes,Rarely Travel,Pop,Romance,9,8,Daily,Never,Online Ad,17,91,Always,No,No
108,21,Female,Houston,Raw Vegan,7,Religious,In Phases,Indian,5,Rarely,Music,Regularly,Socially,PhD,Entrepreneur,Middle,1,No,No,Adventurous,Rock,Romance,4,7,Daily,Never,Social Media,2,97,Often,No,Yes
109,18,Male,San Jose,Vegan,8,Religious,Overnight,Western,8,Rarely,Yoga,Regularly,Regularly,PhD,Engineer,High,3,Yes,No,Rarely Travel,Classical,Action,16,1,Weekly,Never,Online Ad,5,69,Always,No,No
110,47,Male,San Jose,Pescatarian,19,Religious,Overnight,Mediterranean,6,Weekly,Yoga,Socially,Socially,High School,Engineer,Middle,1,No,Yes,Relaxing,Classical,Documentary,2,3,Monthly,Often,Online Ad,4,62,Always,No,No
111,47,Male,San Antonio,Vegan,15,Health,In Phases,Mediterranean,5,Rarely,Reading,Regularly,Regularly,Bachelor's,Teacher,High,4,No,No,Relaxing,Rock,Romance,19,8,Daily,Never,Social Media,1,54,Often,No,No
112,42,Male,Dallas,Vegetarian,11,Ethical,Gradual,Indian,8,Rarely,Yoga,Socially,Regularly,High School,Engineer,Low,4,No,Yes,Rarely Travel,Pop,Documentary,13,10,Daily,Rarely,Friends,14,97,Rarely,No,Yes
113,33,Female,San Antonio,Vegan,1,Ethical,Overnight,Mediterranean,7,Daily,Reading,Regularly,Socially,Bachelor's,Engineer,Low,4,Yes,Yes,Rarely Travel,Classical,Action,13,4,Daily,Often,Social Media,12,82,Rarely,No,Yes
114,41,Male,Los Angeles,Raw Vegan,5,Health,Gradual,Asian,8,Rarely,Reading,Never,Socially,Bachelor's,Artist,Low,4,No,Yes,Relaxing,Rock,Comedy,16,10,Monthly,Often,Online Ad,22,86,Rarely,No,Yes
